n, each, mean, variance, stdDev, median,median1e6
301,3.576667E-05,3.576667E-05,1.16178886E-10,1.0778631E-05,3.2E-05,32.0
401,5.306666E-05,5.306666E-05,1.1907956E-09,3.4507906E-05,4.6E-05,46.0
501,5.5266668E-05,5.5266668E-05,1.0451957E-09,3.2329488E-05,4.5E-05,45.0
601,2.3066666E-04,2.3066666E-04,2.647022E-09,5.1449217E-05,2.04E-04,204.0
701,1.9556667E-04,1.9556667E-04,3.1220453E-09,5.5875265E-05,1.74E-04,174.0
801,2.3216667E-04,2.3216667E-04,3.2973388E-09,5.7422458E-05,2.14E-04,214.0
901,7.090666E-04,7.090666E-04,3.1987966E-09,5.6557903E-05,7.07E-04,707.0
1001,6.347334E-04,6.347334E-04,7.067596E-09,8.4069E-05,6.29E-04,629.0
1101,6.465668E-04,6.465668E-04,7.4972455E-09,8.658664E-05,6.31E-04,631.0
1201,1.2313334E-03,1.2313334E-03,2.594589E-08,1.6107729E-04,1.205E-03,1205.0
1301,1.1556E-03,1.1556E-03,1.8170772E-08,1.34799E-04,1.128E-03,1128.0
1401,1.3874335E-03,1.3874335E-03,7.0653397E-07,8.4055576E-04,1.223E-03,1223.0
1501,1.9414668E-03,1.9414668E-03,2.0235634E-06,1.4225201E-03,1.639E-03,1639.0
1601,1.4826E-03,1.4826E-03,7.746258E-08,2.78321E-04,1.415E-03,1415.0
1701,1.9960334E-03,1.9960334E-03,6.431151E-08,2.5359713E-04,1.96E-03,1960.0
1801,2.6662003E-03,2.6662003E-03,8.226904E-08,2.868258E-04,2.648E-03,2648.0
1901,2.4517E-03,2.4517E-03,3.0509973E-06,1.7467104E-03,2.101E-03,2101.0
2001,2.527333E-03,2.527333E-03,6.893876E-08,2.6256192E-04,2.475E-03,2475.0
2101,4.0917E-03,4.0917E-03,3.7292075E-06,1.9311156E-03,3.719E-03,3719.0
2201,4.497967E-03,4.497967E-03,4.000613E-06,2.0001533E-03,4.138E-03,4138.0
2301,3.9157337E-03,3.9157337E-03,1.8529718E-07,4.304616E-04,3.875E-03,3875.0
2401,5.4335673E-03,5.4335673E-03,3.7626676E-06,1.9397597E-03,5.041E-03,5041.0
2501,5.3308997E-03,5.3308997E-03,3.9281076E-06,1.9819455E-03,4.914E-03,4914.0
2601,5.6600003E-03,5.6600003E-03,3.8607521E-07,6.213495E-04,5.476E-03,5476.0
2701,6.281166E-03,6.281166E-03,3.029414E-07,5.504011E-04,6.161E-03,6161.0
2801,5.7557E-03,5.7557E-03,5.666916E-06,2.3805285E-03,5.271E-03,5271.0
2901,7.6703997E-03,7.6703997E-03,8.055274E-06,2.8381813E-03,6.974E-03,6974.0
3001,8.839667E-03,8.839667E-03,5.3005597E-06,2.3022944E-03,8.364E-03,8364.0
